SIDONAME,ZSCODE,ZCODE,COUNT
대구광역시,27000,27,0
대구광역시 중구,27110,27,374
대구광역시 동구,27140,27,1412
대구광역시 서구,27170,27,516
대구광역시 남구,27200,27,223
대구광역시 북구,27230,27,2107
대구광역시 수성구,27260,27,1878
대구광역시 달서구,27290,27,2019
대구광역시 달성군,27710,27,1844
