SIDONAME,ZSCODE,ZCODE,COUNT
부산광역시,26000,26,0
부산광역시 중구,26110,26,50
부산광역시 서구,26140,26,253
부산광역시 동구,26170,26,166
부산광역시 영도구,26200,26,205
부산광역시 부산진구,26230,26,990
부산광역시 동래구,26260,26,794
부산광역시 남구,26290,26,928
부산광역시 북구,26320,26,591
부산광역시 해운대구,26350,26,1914
부산광역시 사하구,26380,26,677
부산광역시 금정구,26410,26,587
부산광역시 강서구,26440,26,698
부산광역시 연제구,26470,26,689
부산광역시 수영구,26500,26,411
부산광역시 사상구,26530,26,534
부산광역시 기장군,26710,26,766
