SIDONAME,ZSCODE,ZCODE,COUNT
대전광역시,30000,30,0
대전광역시 동구,30110,30,678
대전광역시 중구,30140,30,607
대전광역시 서구,30170,30,1491
대전광역시 유성구,30200,30,1878
대전광역시 대덕구,30230,30,463
