SIDONAME,ZSCODE,ZCODE,COUNT
충청남도,44000,44,0
충청남도 천안시,44130,44,2546
충청남도 천안시 동남구,44131,44,0
충청남도 천안시 서북구,44133,44,0
충청남도 공주시,44150,44,309
충청남도 보령시,44180,44,269
충청남도 아산시,44200,44,1406
충청남도 서산시,44210,44,618
충청남도 논산시,44230,44,270
충청남도 계룡시,44250,44,141
충청남도 당진시,44270,44,654
충청남도 금산군,44710,44,116
충청남도 부여군,44760,44,130
충청남도 서천군,44770,44,111
충청남도 청양군,44790,44,38
충청남도 홍성군,44800,44,335
충청남도 예산군,44810,44,250
충청남도 태안군,44825,44,211
