SIDONAME,ZSCODE,ZCODE,COUNT
강원도,42000,42,0
강원도 춘천시,42110,42,1219
강원도 원주시,42130,42,1514
강원도 강릉시,42150,42,743
강원도 동해시,42170,42,304
강원도 태백시,42190,42,105
강원도 속초시,42210,42,362
강원도 삼척시,42230,42,211
강원도 홍천군,42720,42,213
강원도 횡성군,42730,42,206
강원도 영월군,42750,42,113
강원도 평창군,42760,42,244
강원도 정선군,42770,42,152
강원도 철원군,42780,42,73
강원도 화천군,42790,42,35
강원도 양구군,42800,42,47
강원도 인제군,42810,42,192
강원도 고성군,42820,42,108
강원도 양양군,42830,42,134
