,RESULT,NAME_LONG
0,48000,경상남도
1,48120,경상남도 창원시
2,48121,경상남도 창원시 의창구
3,48123,경상남도 창원시 성산구
4,48125,경상남도 창원시 마산합포구
5,48127,경상남도 창원시 마산회원구
6,48129,경상남도 창원시 진해구
7,48170,경상남도 진주시
8,48220,경상남도 통영시
9,48240,경상남도 사천시
10,48250,경상남도 김해시
11,48270,경상남도 밀양시
12,48310,경상남도 거제시
13,48330,경상남도 양산시
14,48720,경상남도 의령군
15,48730,경상남도 함안군
16,48740,경상남도 창녕군
17,48820,경상남도 고성군
18,48840,경상남도 남해군
19,48850,경상남도 하동군
20,48860,경상남도 산청군
21,48870,경상남도 함양군
22,48880,경상남도 거창군
23,48890,경상남도 합천군
