SIDONAME,ZSCODE,ZCODE,COUNT
울산광역시,31000,31,2628
울산광역시 중구,31110,31,475
울산광역시 남구,31140,31,627
울산광역시 동구,31170,31,214
울산광역시 북구,31200,31,693
울산광역시 울주군,31710,31,618    A
