SIDONAME,ZSCODE,ZCODE,COUNT
광주광역시,29000,29,5338
광주광역시 동구,29110,29,405
광주광역시 서구,29140,29,1178
광주광역시 남구,29155,29,745
광주광역시 북구,29170,29,1422
광주광역시 광산구,29200,29,1587
