SIDONAME,ZSCODE,ZCODE,COUNT
전라북도,45000,45,6135
전라북도 전주시,45110,45,2439
전라북도 전주시 완산구,45111,45,0
전라북도 전주시 덕진구,45113,45,0
전라북도 군산시,45130,45,1116
전라북도 익산시,45140,45,920
전라북도 정읍시,45180,45,289
전라북도 남원시,45190,45,244
전라북도 김제시,45210,45,186
전라북도 완주군,45710,45,290
전라북도 진안군,45720,45,59
전라북도 무주군,45730,45,56
전라북도 장수군,45740,45,43
전라북도 임실군,45750,45,107
전라북도 순창군,45770,45,50
전라북도 고창군,45790,45,155
전라북도 부안군,45800,45,181
