SIDONAME,ZSCODE,ZCODE,COUNT
인천광역시,28000,28,8224
인천광역시 중구,28110,28,769
인천광역시 동구,28140,28,224
인천광역시 미추홀구,28177,28,576
인천광역시 연수구,28185,28,1921
인천광역시 남동구,28200,28,1275
인천광역시 부평구,28237,28,795
인천광역시 계양구,28245,28,479
인천광역시 서구,28260,28,1982
인천광역시 강화군,28710,28,172
인천광역시 옹진군,28720,28,31
